Ref,Text Before,Named Entity,Text After,Label,Status
"Story, Commentaries on the Constitution of the United States, 1833, Book III, Chapter 29 Power of Congress as to Proof of State Records and Proceedings 1299",; ,S.C. 1 Peters’s Cond. R. 229,; ,Citation,tp
"Story, Commentaries on the Constitution of the United States, 1833, Book III, Chapter 29 Power of Congress as to Proof of State Records and Proceedings 1299",; ,"Raynham v. Canton, 8 Pick. R. 293",; ,Citation,tp
"Story, Commentaries on the Constitution of the United States, 1833, Book III, Chapter 29 Power of Congress as to Proof of State Records and Proceedings 1299",; ,"Conseequa v. Willings, 1 Peters’s Cir. R. 225, 229",; ,Citation,tp
"Story, Commentaries on the Constitution of the United States, 1833, Book III, Chapter 29 Power of Congress as to Proof of State Records and Proceedings 1299",; ,"Church v. Hubbard, 2 Cranch, 187, 238",; ,Citation,tp
"Story, Commentaries on the Constitution of the United States, 1833, Book III, Chapter 29 Power of Congress as to Proof of State Records and Proceedings 1299",; ,S. C. 1 Peters’s Cond. R. 385,; ,Citation,tp
"Story, Commentaries on the Constitution of the United States, 1833, Book III, Chapter 29 Power of Congress as to Proof of State Records and Proceedings 1299",; ,"Yeaton v. Fry, 5 Cranch, 335, 343",; ,Citation,tp
"Story, Commentaries on the Constitution of the United States, 1833, Book III, Chapter 29 Power of Congress as to Proof of State Records and Proceedings 1299",; ,S. C. 2 Peters’s Cond. R. 273,; ,Citation,tp
"Story, Commentaries on the Constitution of the United States, 1833, Book III, Chapter 29 Power of Congress as to Proof of State Records and Proceedings 1299",; ,"Picton’s case, 24, Howell’s State Trials, 494",", etc.; ",Citation,tp
"Story, Commentaries on the Constitution of the United States, 1833, Book III, Chapter 29 Power of Congress as to Proof of State Records and Proceedings 1299",", etc.; ","Vandervoorst v. Smith, 3 Caine’s R. 155",; ,Citation,tp
"Story, Commentaries on the Constitution of the United States, 1833, Book III, Chapter 29 Power of Congress as to Proof of State Records and Proceedings 1299",; ,"Delafield v. Hurd, 3 Johns.R. 310",. See also ,Citation,tp
"Story, Commentaries on the Constitution of the United States, 1833, Book III, Chapter 29 Power of Congress as to Proof of State Records and Proceedings 1299",. See also ,"Pardessus Cours de Droit. Cornmet. P. 6. tit. 7, ch. 2",", partout.",Citation,tp
"Story, Commentaries on the Constitution of the United States, 1833, Book III, Chapter 4 Who is the final Judge or Interpreter in Constitutional Controversies 390","The same doctrine was constantly avowed in the state conventions, called to ratify the ",constitution,. With some persons it formed a strong objection to the ,Citation,tp
"Story, Commentaries on the Constitution of the United States, 1833, Book III, Chapter 4 Who is the final Judge or Interpreter in Constitutional Controversies 390",. With some persons it formed a strong objection to the ,constitution,"; with others it was deemed vital to its existence and value. It would occupy too much space to quote the passages at large. Take for an instance, in the ",Citation,tp
"Story, Commentaries on the Constitution of the United States, 1833, Book III, Chapter 4 Who is the final Judge or Interpreter in Constitutional Controversies 390","; with others it was deemed vital to its existence and value. It would occupy too much space to quote the passages at large. Take for an instance, in the ",Virginia debates,", Mr. Madison’s remarks. ” It may be a misfortune, that in organizing any government, the explication of its authority should be left to any of its co-ordinate branches. There is no example in any country, where it is otherwise. There is no new policy in submitting it to the judiciary of the United States.” ",Citation,tp
"Story, Commentaries on the Constitution of the United States, 1833, Book III, Chapter 4 Who is the final Judge or Interpreter in Constitutional Controversies 390",", Mr. Madison’s remarks. ” It may be a misfortune, that in organizing any government, the explication of its authority should be left to any of its co-ordinate branches. There is no example in any country, where it is otherwise. There is no new policy in submitting it to the judiciary of the United States.” ","2 Elliot’s Debates, 390",. See also ,Citation,tp
"Story, Commentaries on the Constitution of the United States, 1833, Book III, Chapter 4 Who is the final Judge or Interpreter in Constitutional Controversies 390",. See also ,"Id. 380, 383, 395, 400, 404, 418",. See also ,Citation,tp
"Story, Commentaries on the Constitution of the United States, 1833, Book III, Chapter 4 Who is the final Judge or Interpreter in Constitutional Controversies 390",. See also ,"North Carolina Debates, 3 Elliot’s Debates, 125, 127, 128, 130, 133, 134, 139, 141, 142, 143",; ,Citation,tp
